"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Azerbaijan","AZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3230","2610","2310","2360","2520","2790","3120","3320","3680","4030","4480","4850","5970","8140","10020","11640","12940","13800","13790","15050","16330","16940","14460","13510","13590","13850","14470","14390","15520","",
"Burundi","BDI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600","640","650","640","630","550","520","520","540","530","540","530","550","530","550","560","590","610","620","610","630","640","650","700","730","800","770","750","760","760","750","780","",
"Belgium","BEL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18750","19740","20410","20810","22050","22940","23270","24310","24960","26030","28510","29330","30810","31530","32510","33590","35760","37310","38800","38450","40450","41010","43270","44750","45870","46850","49060","50900","52990","56280","54800","59920","",
"Benin","BEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200","1260","1270","1330","1330","1420","1470","1540","1580","1640","1720","1800","1850","1890","1970","2010","2080","2200","2290","2290","2290","2350","2410","2580","2730","2770","2880","2900","3080","3260","3330","3750","",
"Burkina Faso","BFA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","570","620","620","640","650","680","760","800","840","890","900","950","970","1030","1070","1160","1250","1290","1350","1350","1410","1470","1530","1590","1570","1580","1750","1900","2030","2080","2050","2270","",
"Bangladesh","BGD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","1040","1110","1170","1220","1280","1340","1400","1470","1530","1620","1700","1780","1860","1990","2150","2360","2580","2790","2930","3100","3330","3740","3990","4220","4450","4770","5000","5460","5930","6140","6840","",
"Bulgaria","BGR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6950","6490","6810","6910","7190","7570","6630","5570","6060","5730","6270","6970","7950","8550","9310","10320","11120","11880","13650","13730","14650","15250","16110","16280","17470","17820","19450","20990","22270","24460","24420","27380","",
"Bahrain","BHR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27080","29780","30330","32390","31710","33700","34820","34230","35600","36040","38390","38750","38910","40990","42080","43620","44700","46730","46350","41820","43510","43420","52020","51700","49530","43330","42760","46190","47360","48830","46900","","",
"Bahamas, The","BHS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19710","19110","18730","18660","19260","22160","24220","22490","21210","24070","25240","25940","26790","26710","27340","28680","29800","30600","30470","28740","28890","29300","29890","29380","30520","31170","31140","33350","33430","34970","26850","31010","",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","840","1040","2010","2690","3830","4090","4520","4650","4950","5150","5910","6210","7090","7920","8910","9030","9240","9840","10190","10930","11240","11770","12730","13290","14500","15870","15560","17240","",
"Belarus","BLR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5230","5340","4920","4650","4190","3850","4050","4590","5060","5340","5780","6220","6690","7380","8490","9660","10970","12220","13720","13740","15050","16380","17700","18330","18440","17330","16950","17670","18730","19510","19420","20860","",
"Belize","BLZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4460","5030","5620","5970","5920","5970","5930","6070","6110","6480","7200","7410","7690","8190","8400","8650","9050","9170","8930","9110","8860","9080","8540","8770","8650","8910","8710","8390","8400","8770","7900","9330","",
"Bermuda","BMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72180","71790","70450","72180","71390","74460","78530","85190","86070","86290","82650","91950","",
"Bolivia","BOL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2180","2330","2400","2510","2650","2780","2900","3050","3200","3190","3270","3350","3420","3480","3640","3870","4120","4340","4640","4710","4850","5140","5460","6100","6560","6750","7210","8000","8460","8710","8010","8620","",
"Brazil","BRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6440","6640","6670","7010","7350","7900","8100","8360","8330","8280","8740","8900","9190","9390","10100","10640","11320","12260","12960","12930","13810","14600","14620","15320","15370","14420","13910","14210","14550","14890","14480","15600","",
"Barbados","BRB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9430","9380","9060","9280","9620","9950","10480","11210","11740","11860","12620","12500","12710","13150","13750","14510","15560","16610","16770","16110","16160","15670","15140","15090","14920","15230","15620","15470","15580","15790","14350","14810","",
